WKT,nome,descrição
"POINT (144.9568159 -37.8175267)",Ponto 1,
"POINT (144.957645 -37.8168685)",Ponto 2,
"POINT (144.958418 -37.8164697)",Ponto 3,
"POINT (144.95919 -37.8161565)",Ponto 4,
"POINT (144.9601498 -37.815756)",Ponto 5,
"POINT (144.9597908 -37.8150886)",Ponto 6,
"POINT (144.9609492 -37.814393)",Ponto 7,
"POINT (144.9617633 -37.8140914)",Ponto 8,
"POINT (144.9626426 -37.8135992)",Ponto 9,
"POINT (144.9635244 -37.8128679)",Ponto 10,
"POINT (144.9645329 -37.8125119)",Ponto 11,
"POINT (144.9654556 -37.8123594)",Ponto 12,
"POINT (144.9658408 -37.8124883)",Ponto 13,
"POINT (144.9663783 -37.8128001)",Ponto 14,
"POINT (144.9663783 -37.8130374)",Ponto 15,
"POINT (144.9657989 -37.8131561)",Ponto 16,
"POINT (144.9653054 -37.8133087)",Ponto 17,
"POINT (144.9648763 -37.8134612)",Ponto 18,
"POINT (144.9645329 -37.8135121)",Ponto 19,
"POINT (144.9651767 -37.8126476)",Ponto 20,
"POINT (144.9633098 -37.8131053)",Ponto 21,
"POINT (144.9631167 -37.8138003)",Ponto 22,
"POINT (144.9630289 -37.8141926)",Ponto 23,
"POINT (144.963222 -37.8144807)",Ponto 24,
"POINT (144.963222 -37.8144807)",Ponto 25,
"POINT (144.9631811 -37.8147665)",Ponto 26,
"POINT (144.9636103 -37.8148513)",Ponto 27,
"POINT (144.9635459 -37.8151395)",Ponto 28,
"POINT (144.9637605 -37.8152751)",Ponto 29,
"POINT (144.9637819 -37.8158853)",Ponto 30,
"POINT (144.9640394 -37.8164277)",Ponto 31,
"POINT (144.964769 -37.8161396)",Ponto 32,
"POINT (144.9653054 -37.8158514)",Ponto 33,
"POINT (144.9659277 -37.8157328)",Ponto 34,
"POINT (144.9666787 -37.8154276)",Ponto 35,
"POINT (144.9674297 -37.815309)",Ponto 36,
"POINT (144.9682237 -37.8150716)",Ponto 37,
"POINT (144.9686743 -37.8148852)",Ponto 38,
"POINT (144.9693824 -37.8146479)",Ponto 39,
"POINT (144.9700759 -37.814358)",Ponto 40,
"POINT (144.9707557 -37.8141224)",Ponto 41,
"POINT (144.9711634 -37.8141732)",Ponto 42,
"POINT (144.9712706 -37.8136308)",Ponto 43,
"POINT (144.9710928 -37.8129584)",Ponto 44,
"POINT (144.9707127 -37.8125967)",Ponto 45,
"POINT (144.9703694 -37.8118847)",Ponto 46,
"POINT (144.9701548 -37.8111219)",Ponto 47,
"POINT (144.9696613 -37.8105455)",Ponto 48,
"POINT (144.9697471 -37.8100878)",Ponto 49,
"POINT (144.9694467 -37.8095622)",Ponto 50,
"POINT (144.969039 -37.8091045)",Ponto 51,
"POINT (144.9688459 -37.8083925)",Ponto 52,
"POINT (144.9682729 -37.8083852)",Ponto 53,
"POINT (144.9679188 -37.8084615)",Ponto 54,
"POINT (144.967597 -37.8085377)",Ponto 55,
"POINT (144.9673502 -37.8085208)",Ponto 56,
"POINT (144.967082 -37.8086225)",Ponto 57,
"POINT (144.9668245 -37.8086988)",Ponto 58,
"POINT (144.9664704 -37.8087158)",Ponto 59,
"POINT (144.9663631 -37.8088514)",Ponto 60,
"POINT (144.9664061 -37.8090039)",Ponto 61,
"POINT (144.966449 -37.8090887)",Ponto 62,
"POINT (144.9665455 -37.8093261)",Ponto 63,
"POINT (144.9666421 -37.8094447)",Ponto 64,
"POINT (144.9666314 -37.8097329)",Ponto 65,
"POINT (144.9667708 -37.8098855)",Ponto 66,
"POINT (144.9662773 -37.8099872)",Ponto 67,
"POINT (144.9660306 -37.8100211)",Ponto 68,
"POINT (144.9657301 -37.8101059)",Ponto 69,
"POINT (144.9655478 -37.810233)",Ponto 70,
"POINT (144.965301 -37.8102839)",Ponto 71,
"POINT (144.9650435 -37.8103771)",Ponto 72,
"POINT (144.9648933 -37.8104195)",Ponto 73,
"POINT (144.9647085 -37.8105044)",Ponto 74,
"POINT (144.9645822 -37.8105127)",Ponto 75,
"POINT (144.9644212 -37.8105297)",Ponto 76,
"POINT (144.9642067 -37.810428)",Ponto 77,
"POINT (144.9639599 -37.810072)",Ponto 78,
"POINT (144.9639062 -37.8097753)",Ponto 79,
"POINT (144.9637346 -37.809538)",Ponto 80,
"POINT (144.9635093 -37.809699)",Ponto 81,
"POINT (144.9633162 -37.8097923)",Ponto 82,
"POINT (144.9631123 -37.8098685)",Ponto 83,
"POINT (144.9629299 -37.8098262)",Ponto 84,
"POINT (144.9627475 -37.8099618)",Ponto 85,
"POINT (144.962533 -37.8099872)",Ponto 86,
"POINT (144.9623076 -37.8100635)",Ponto 87,
"POINT (144.9621145 -37.8100804)",Ponto 88,
"POINT (144.962018 -37.8101991)",Ponto 89,
"POINT (144.9617497 -37.8101737)",Ponto 90,
"POINT (144.9615566 -37.8102839)",Ponto 91,
"POINT (144.9614064 -37.8103771)",Ponto 92,
"POINT (144.9611918 -37.8103602)",Ponto 93,
"POINT (144.9609665 -37.8104619)",Ponto 94,
"POINT (144.9609236 -37.8105297)",Ponto 95,
"POINT (144.9606661 -37.8105636)",Ponto 96,
"POINT (144.9604516 -37.8105297)",Ponto 97,
"POINT (144.9600975 -37.8105975)",Ponto 98,
"POINT (144.9598937 -37.8107162)",Ponto 99,
"POINT (144.9596726 -37.8108779)",Ponto 100,
