WKT,nome,descrição
"POINT (144.9548633 -37.8136681)",Ponto 2,
"POINT (144.9558075 -37.8132951)",Ponto 3,
"POINT (144.9575456 -37.8125492)",Ponto 4,
"POINT (144.9582867 -37.8128534)",Ponto 5,
"POINT (144.9589841 -37.8123787)",Ponto 6,
"POINT (144.9604217 -37.81226)",Ponto 7,
"POINT (144.9617736 -37.8117854)",Ponto 8,
"POINT (144.9627392 -37.8114802)",Ponto 9,
"POINT (144.9636726 -37.8110649)",Ponto 10,
"POINT (144.9643163 -37.8106496)",Ponto 11,
"POINT (144.9654428 -37.8104461)",Ponto 12,
"POINT (144.9655394 -37.8107004)",Ponto 13,
"POINT (144.9657969 -37.8108191)",Ponto 14,
"POINT (144.9657969 -37.8110225)",Ponto 15,
"POINT (144.9657969 -37.8110225)",Ponto 16,
"POINT (144.9657325 -37.8111581)",Ponto 17,
"POINT (144.9652605 -37.8113277)",Ponto 18,
"POINT (144.9645738 -37.8113785)",Ponto 19,
"POINT (144.9646811 -37.811582)",Ponto 20,
"POINT (144.9649815 -37.8118701)",Ponto 21,
"POINT (144.9642949 -37.8118193)",Ponto 22,
"POINT (144.9631147 -37.8121075)",Ponto 23,
"POINT (144.9623851 -37.8121922)",Ponto 24,
"POINT (144.962428 -37.8125143)",Ponto 25,
"POINT (144.9623208 -37.8126838)",Ponto 26,
"POINT (144.9628572 -37.8129042)",Ponto 27,
"POINT (144.9627284 -37.8130229)",Ponto 28,
"POINT (144.9631917 -37.8132087)",Ponto 29,
"POINT (144.9626426 -37.8135992)",Ponto 30,
"POINT (144.9629645 -37.8139044)",Ponto 31,
"POINT (144.9630289 -37.8141926)",Ponto 32,
"POINT (144.963222 -37.8144807)",Ponto 33,
"POINT (144.9633936 -37.8147011)",Ponto 34,
"POINT (144.9636346 -37.8149762)",Ponto 35,
"POINT (144.9638277 -37.8154169)",Ponto 36,
"POINT (144.9638062 -37.8156373)",Ponto 37,
"POINT (144.9641066 -37.816095)",Ponto 38,
"POINT (144.9638553 -37.8163046)",Ponto 39,
"POINT (144.9632054 -37.8164001)",Ponto 40,
"POINT (144.9626475 -37.8168239)",Ponto 41,
"POINT (144.9620681 -37.8166544)",Ponto 42,
"POINT (144.9612497 -37.8167692)",Ponto 43,
"POINT (144.9615532 -37.8170103)",Ponto 44,
"POINT (144.9618107 -37.8172137)",Ponto 45,
"POINT (144.9619823 -37.8174171)",Ponto 46,
"POINT (144.9620252 -37.8176714)",Ponto 47,
"POINT (144.9620038 -37.8177901)",Ponto 48,
"POINT (144.9621969 -37.8180952)",Ponto 49,
"POINT (144.962626 -37.8176036)",Ponto 50,
