WKT,nome,descrição
"POINT (144.974537 -37.8150011)",Ponto 1,
"POINT (144.9740491 -37.8144938)",Ponto 2,
"POINT (144.9736843 -37.8138327)",Ponto 3,
"POINT (144.9731908 -37.8139513)",Ponto 4,
"POINT (144.9727187 -37.8138157)",Ponto 5,
"POINT (144.9718261 -37.814141)",Ponto 6,
"POINT (144.9718175 -37.8144599)",Ponto 7,
"POINT (144.9719248 -37.8147481)",Ponto 8,
"POINT (144.9717531 -37.8150193)",Ponto 9,
"POINT (144.971796 -37.8151549)",Ponto 10,
"POINT (144.9722037 -37.8154431)",Ponto 11,
"POINT (144.9712596 -37.8153922)",Ponto 12,
"POINT (144.9708304 -37.8155617)",Ponto 13,
"POINT (144.9702213 -37.8155982)",Ponto 14,
"POINT (144.9695132 -37.8156999)",Ponto 15,
"POINT (144.9691055 -37.8152422)",Ponto 16,
"POINT (144.9686743 -37.8148852)",Ponto 17,
"POINT (144.9682901 -37.8148852)",Ponto 18,
"POINT (144.9682237 -37.8150716)",Ponto 19,
"POINT (144.9678395 -37.8150886)",Ponto 20,
"POINT (144.9675606 -37.8151056)",Ponto 21,
"POINT (144.9669169 -37.8154107)",Ponto 22,
"POINT (144.9664662 -37.8155293)",Ponto 23,
"POINT (144.9664662 -37.8155293)",Ponto 24,
"POINT (144.9661658 -37.8154954)",Ponto 25,
"POINT (144.9658654 -37.8155632)",Ponto 26,
"POINT (144.9658654 -37.8155632)",Ponto 27,
"POINT (144.9656723 -37.8157497)",Ponto 28,
"POINT (144.9654792 -37.8157158)",Ponto 29,
"POINT (144.9653054 -37.8158514)",Ponto 30,
"POINT (144.9648715 -37.8159761)",Ponto 31,
"POINT (144.9643994 -37.8160778)",Ponto 32,
"POINT (144.9641066 -37.816095)",Ponto 33,
"POINT (144.9641205 -37.8162473)",Ponto 34,
"POINT (144.9640394 -37.8164277)",Ponto 35,
"POINT (144.964335 -37.8166711)",Ponto 36,
"POINT (144.9645282 -37.8170101)",Ponto 37,
"POINT (144.9645282 -37.8170101)",Ponto 38,
"POINT (144.9644209 -37.8171966)",Ponto 39,
"POINT (144.9637986 -37.8175356)",Ponto 40,
"POINT (144.9631763 -37.8175865)",Ponto 41,
"POINT (144.9626429 -37.8178344)",Ponto 42,
"POINT (144.9624682 -37.8178407)",Ponto 43,
"POINT (144.9620038 -37.8177901)",Ponto 44,
"POINT (144.9619747 -37.8179594)",Ponto 45,
"POINT (144.9612666 -37.8180441)",Ponto 46,
"POINT (144.9609447 -37.8182814)",Ponto 47,
"POINT (144.9607087 -37.8182814)",Ponto 48,
"POINT (144.9603224 -37.8184001)",Ponto 49,
"POINT (144.9601079 -37.8182814)",Ponto 50,
"POINT (144.9600864 -37.8185018)",Ponto 51,
"POINT (144.9595071 -37.8185527)",Ponto 52,
"POINT (144.9592925 -37.8180441)",Ponto 53,
"POINT (144.9588386 -37.8172929)",Ponto 54,
"POINT (144.9586451 -37.8167164)",Ponto 55,
"POINT (144.9584771 -37.8162134)",Ponto 56,
"POINT (144.9581767 -37.8156879)",Ponto 57,
"POINT (144.9579406 -37.8149929)",Ponto 58,
"POINT (144.9574257 -37.8147895)",Ponto 59,
"POINT (144.9574257 -37.8140776)",Ponto 60,
"POINT (144.9577904 -37.813586)",Ponto 61,
"POINT (144.9581338 -37.8134164)",Ponto 62,
"POINT (144.958631 -37.8132035)",Ponto 63,
"POINT (144.9595537 -37.8131526)",Ponto 64,
"POINT (144.9591889 -37.8124406)",Ponto 65,
"POINT (144.9595537 -37.8120507)",Ponto 66,
"POINT (144.9602404 -37.8117456)",Ponto 67,
"POINT (144.9610558 -37.8115761)",Ponto 68,
"POINT (144.9615707 -37.8113726)",Ponto 69,
"POINT (144.9618497 -37.8115422)",Ponto 70,
"POINT (144.9618497 -37.8115422)",Ponto 71,
"POINT (144.9619999 -37.8116608)",Ponto 72,
"POINT (144.962193 -37.8120168)",Ponto 73,
"POINT (144.9623218 -37.8123389)",Ponto 74,
"POINT (144.9630942 -37.811966)",Ponto 75,
"POINT (144.9635663 -37.8119151)",Ponto 76,
"POINT (144.9638238 -37.811593)",Ponto 77,
"POINT (144.9645963 -37.8118303)",Ponto 78,
"POINT (144.9650683 -37.8115083)",Ponto 79,
"POINT (144.9654546 -37.8113048)",Ponto 80,
"POINT (144.9660768 -37.8113218)",Ponto 81,
"POINT (144.9667206 -37.8109658)",Ponto 82,
"POINT (144.9673214 -37.8107624)",Ponto 83,
"POINT (144.9672999 -37.8111862)",Ponto 84,
"POINT (144.9675145 -37.811237)",Ponto 85,
"POINT (144.9676433 -37.8115252)",Ponto 86,
"POINT (144.9675574 -37.8116608)",Ponto 87,
"POINT (144.9677935 -37.8122202)",Ponto 88,
"POINT (144.9680939 -37.8125593)",Ponto 89,
"POINT (144.9679146 -37.8128004)",Ponto 90,
"POINT (144.9681368 -37.8128983)",Ponto 91,
"POINT (144.9681797 -37.8131357)",Ponto 92,
"POINT (144.9682655 -37.8133052)",Ponto 93,
"POINT (144.9682907 -37.8135465)",Ponto 94,
"POINT (144.9688663 -37.8138307)",Ponto 95,
"POINT (144.9686303 -37.8139493)",Ponto 96,
"POINT (144.968802 -37.8142206)",Ponto 97,
"POINT (144.9689736 -37.8145257)",Ponto 98,
"POINT (144.9692097 -37.8147291)",Ponto 99,
"POINT (144.9697676 -37.8145426)",Ponto 100,
