WKT,nome,descrição
"POINT (144.9672712 -37.8173603)",Ponto 1,
"POINT (144.9672146 -37.8168077)",Ponto 2,
"POINT (144.9668498 -37.8163331)",Ponto 3,
"POINT (144.9666567 -37.816011)",Ponto 4,
"POINT (144.9661658 -37.8154954)",Ponto 5,
"POINT (144.9659277 -37.8157328)",Ponto 6,
"POINT (144.9649615 -37.8158514)",Ponto 7,
"POINT (144.9653054 -37.8158514)",Ponto 8,
"POINT (144.9646397 -37.8162074)",Ponto 9,
"POINT (144.9641066 -37.816095)",Ponto 10,
"POINT (144.9641205 -37.8162473)",Ponto 11,
"POINT (144.964335 -37.8166711)",Ponto 12,
"POINT (144.9645282 -37.8170101)",Ponto 13,
"POINT (144.9644209 -37.8171966)",Ponto 14,
"POINT (144.9656053 -37.8169871)",Ponto 15,
"POINT (144.9665494 -37.8166312)",Ponto 16,
"POINT (144.9676652 -37.8161565)",Ponto 17,
"POINT (144.9685879 -37.8159531)",Ponto 18,
"POINT (144.9692102 -37.815648)",Ponto 19,
"POINT (144.9690385 -37.8150716)",Ponto 20,
"POINT (144.9697895 -37.8146648)",Ponto 21,
"POINT (144.9707557 -37.8141224)",Ponto 22,
"POINT (144.9710555 -37.8139698)",Ponto 23,
"POINT (144.9712706 -37.8136308)",Ponto 24,
"POINT (144.9710928 -37.8129584)",Ponto 25,
"POINT (144.9706264 -37.8124329)",Ponto 26,
"POINT (144.9702616 -37.8117209)",Ponto 27,
"POINT (144.970326 -37.8110259)",Ponto 28,
"POINT (144.9693175 -37.8113141)",Ponto 29,
"POINT (144.9690385 -37.811348)",Ponto 30,
"POINT (144.9685664 -37.8115175)",Ponto 31,
"POINT (144.9682017 -37.8117887)",Ponto 32,
"POINT (144.9676867 -37.8117209)",Ponto 33,
"POINT (144.9672999 -37.8111862)",Ponto 34,
"POINT (144.9666782 -37.8104495)",Ponto 35,
"POINT (144.966485 -37.809907)",Ponto 36,
"POINT (144.9663563 -37.809212)",Ponto 37,
"POINT (144.9655194 -37.8091272)",Ponto 38,
"POINT (144.9668245 -37.8086988)",Ponto 39,
"POINT (144.967597 -37.8085377)",Ponto 40,
"POINT (144.9681373 -37.8083174)",Ponto 41,
"POINT (144.9686737 -37.8083682)",Ponto 42,
"POINT (144.9688459 -37.8083925)",Ponto 43,
"POINT (144.9692102 -37.8085886)",Ponto 44,
"POINT (144.9694462 -37.8092498)",Ponto 45,
"POINT (144.969532 -37.8097583)",Ponto 46,
"POINT (144.9696608 -37.8099109)",Ponto 47,
"POINT (144.9694462 -37.8102669)",Ponto 48,
"POINT (144.9691029 -37.8103008)",Ponto 49,
"POINT (144.9680729 -37.8104195)",Ponto 50,
"POINT (144.9667425 -37.8111315)",Ponto 51,
"POINT (144.9657969 -37.8110225)",Ponto 52,
"POINT (144.9656477 -37.8113218)",Ponto 53,
"POINT (144.9652605 -37.8113277)",Ponto 54,
"POINT (144.9647684 -37.8114197)",Ponto 55,
"POINT (144.9645963 -37.8118303)",Ponto 56,
"POINT (144.9637385 -37.8119113)",Ponto 57,
"POINT (144.9629445 -37.8120978)",Ponto 58,
"POINT (144.9624725 -37.8123012)",Ponto 59,
"POINT (144.9620218 -37.8124368)",Ponto 60,
"POINT (144.9612708 -37.8126233)",Ponto 61,
"POINT (144.9610563 -37.8126063)",Ponto 62,
"POINT (144.9609275 -37.8127589)",Ponto 63,
"POINT (144.9605413 -37.8128606)",Ponto 64,
"POINT (144.9599619 -37.8131149)",Ponto 65,
"POINT (144.9596269 -37.8130394)",Ponto 66,
"POINT (144.9592538 -37.8131657)",Ponto 67,
"POINT (144.9588247 -37.8133353)",Ponto 68,
"POINT (144.958653 -37.8134539)",Ponto 69,
"POINT (144.9583311 -37.8134539)",Ponto 70,
"POINT (144.9580307 -37.8136743)",Ponto 71,
"POINT (144.9577904 -37.813586)",Ponto 72,
"POINT (144.9575587 -37.8136574)",Ponto 73,
"POINT (144.9574514 -37.8141829)",Ponto 74,
"POINT (144.957623 -37.8144371)",Ponto 75,
"POINT (144.9577947 -37.8143693)",Ponto 76,
"POINT (144.9578591 -37.8147253)",Ponto 77,
"POINT (144.9579406 -37.8149929)",Ponto 78,
"POINT (144.9578376 -37.8153186)",Ponto 79,
"POINT (144.9579449 -37.815861)",Ponto 80,
"POINT (144.9581809 -37.8159628)",Ponto 81,
"POINT (144.9582882 -37.816217)",Ponto 82,
"POINT (144.9586101 -37.816573)",Ponto 83,
"POINT (144.9587603 -37.8168781)",Ponto 84,
"POINT (144.9587603 -37.8168781)",Ponto 85,
"POINT (144.9585849 -37.817075)",Ponto 86,
"POINT (144.9588461 -37.8174205)",Ponto 87,
"POINT (144.9593182 -37.817624)",Ponto 88,
"POINT (144.9591036 -37.817963)",Ponto 89,
"POINT (144.9582668 -37.8181325)",Ponto 90,
"POINT (144.9579449 -37.818285)",Ponto 91,
"POINT (144.9574943 -37.8179969)",Ponto 92,
"POINT (144.9572582 -37.8181833)",Ponto 93,
"POINT (144.9567218 -37.818285)",Ponto 94,
"POINT (144.9563999 -37.8173188)",Ponto 95,
"POINT (144.9563999 -37.8166069)",Ponto 96,
"POINT (144.9560781 -37.8161492)",Ponto 97,
"POINT (144.9557562 -37.8157085)",Ponto 98,
"POINT (144.9556787 -37.8150736)",Ponto 99,
"POINT (144.9553139 -37.8144634)",Ponto 100,
