WKT,Latitude,Longitude
"POINT (144.952370512958 -37.81349283433532)",-37.81349283433532, 144.952370512958
"POINT (144.9525884126076 -37.814498699722236)",-37.814498699722236, 144.9525884126076
"POINT (144.95314560128986 -37.81571872754124)",-37.81571872754124, 144.95314560128986
"POINT (144.95250831084735 -37.81622214028631)",-37.81622214028631, 144.95250831084735
"POINT (144.95493601462402 -37.816413917716226)",-37.816413917716226, 144.95493601462402
"POINT (144.95463245193875 -37.81839164193176)",-37.81839164193176, 144.95463245193875
"POINT (144.9545995826755 -37.82049765084205)",-37.82049765084205, 144.9545995826755
"POINT (144.95633693773874 -37.82070283599287)",-37.82070283599287, 144.95633693773874
"POINT (144.9582012312439 -37.82040965055669)",-37.82040965055669, 144.9582012312439
"POINT (144.96047231011977 -37.819089286463104)",-37.819089286463104, 144.96047231011977
"POINT (144.95966962872984 -37.818891008402275)",-37.818891008402275, 144.95966962872984
"POINT (144.95931701346447 -37.818303586785966)",-37.818303586785966, 144.95931701346447
"POINT (144.9585849328675 -37.81707502067743)",-37.81707502067743, 144.9585849328675
"POINT (144.95841803306195 -37.81646971746681)",-37.81646971746681, 144.95841803306195
"POINT (144.9569461362303 -37.81284953337776)",-37.81284953337776, 144.9569461362303
"POINT (144.95780586909825 -37.81169155762518)",-37.81169155762518, 144.95780586909825
"POINT (144.95967263798644 -37.81087785802942)",-37.81087785802942, 144.95967263798644
"POINT (144.96109952232385 -37.8109965107349)",-37.8109965107349, 144.96109952232385
"POINT (144.96219385481243 -37.81189493590788)",-37.81189493590788, 144.96219385481243
"POINT (144.96319167659212 -37.81320867073748)",-37.81320867073748, 144.96319167659212
"POINT (144.96293420157255 -37.814310580788415)",-37.814310580788415, 144.96293420157255
"POINT (144.96385529531923 -37.816304550753635)",-37.816304550753635, 144.96385529531923
"POINT (144.96503293125204 -37.817188535527265)",-37.817188535527265, 144.96503293125204
"POINT (144.96616689868821 -37.81748863606041)",-37.81748863606041, 144.96616689868821
"POINT (144.9671085390494 -37.81712757588793)",-37.81712757588793, 144.9671085390494
"POINT (144.96700990896042 -37.8167500137124)",-37.8167500137124, 144.96700990896042
"POINT (144.96766572847005 -37.81714608974048)",-37.81714608974048, 144.96766572847005
"POINT (144.96888113762972 -37.81681981587577)",-37.81681981587577, 144.96888113762972
"POINT (144.9693623672424 -37.816069552183286)",-37.816069552183286, 144.9693623672424
"POINT (144.96953783270118 -37.814974883135406)",-37.814974883135406, 144.96953783270118
"POINT (144.96829070594885 -37.81354652408749)",-37.81354652408749, 144.96829070594885
"POINT (144.96878417431304 -37.812156480697)",-37.812156480697, 144.96878417431304
"POINT (144.9666882835671 -37.80993366111987)",-37.80993366111987, 144.9666882835671
"POINT (144.96704335943045 -37.808287058778276)",-37.808287058778276, 144.96704335943045
"POINT (144.96815394155817 -37.80842415560895)",-37.80842415560895, 144.96815394155817
"POINT (144.97139469184668 -37.80763328515803)",-37.80763328515803, 144.97139469184668
"POINT (144.9711917435944 -37.80799504368334)",-37.80799504368334, 144.9711917435944
"POINT (144.97175697863287 -37.80891244412939)",-37.80891244412939, 144.97175697863287
"POINT (144.97253288122627 -37.81030246530342)",-37.81030246530342, 144.97253288122627
"POINT (144.972653810425 -37.81076711970403)",-37.81076711970403, 144.972653810425
"POINT (144.97324707086594 -37.811870883851924)",-37.811870883851924, 144.97324707086594
"POINT (144.97424227185962 -37.81399769089991)",-37.81399769089991, 144.97424227185962
"POINT (144.97453703961503 -37.81500111599402)",-37.81500111599402, 144.97453703961503
"POINT (144.97364378778138 -37.815306530465016)",-37.815306530465016, 144.97364378778138
