Latitude,Longitude
-37.81349283433532,144.952370512958
-37.81398124824593,144.95352114402482
-37.81582016573531,144.95391201800356
-37.81745016573531,144.95391201800356
-37.817429746419776,144.9550818398069
-37.81815474641978,144.95382610297142
-37.81815474641978,144.95382610297142
-37.817174674591705,144.95434721640612
-37.81616851794663,144.95443524370629
-37.81791775736091,144.95540486294678
-37.81621879295498,144.95546419209117
-37.817678570589905,144.95543871157778
-37.81670732823776,144.95595513029684
-37.81664975868589,144.95705362278508
-37.8182552966927,144.95592941296982
-37.81866599635286,144.95449713304288
-37.81866599635286,144.95449713304288
-37.8189617502957,144.95601865517722
-37.82011969777827,144.95508096779454
-37.82011969777827,144.95508096779454
-37.82011969777827,144.95508096779454
-37.82011969777827,144.95508096779454
-37.81901027469534,144.95604537456717
-37.81901027469534,144.95604537456717
-37.817661563635816,144.95638164600206
-37.81819853526084,144.9578569634167
-37.81819853526084,144.9578569634167
-37.81819853526084,144.9578569634167
-37.81819853526084,144.9578569634167
-37.81719952232241,144.95918269836338
-37.81719952232241,144.95918269836338
-37.81570768690311,144.95963879822276
-37.81570768690311,144.95963879822276
-37.814693274569834,144.95974541725528
-37.81520596005166,144.9615333640097
-37.81520596005166,144.9615333640097
-37.81520596005166,144.9615333640097
-37.81424153110454,144.96186544352724
-37.81424153110454,144.96186544352724
-37.81491772032333,144.96041535106798
-37.81417156484536,144.96156432974607
-37.81417156484536,144.96156432974607
-37.81472165027073,144.9624113870197
-37.81472165027073,144.9624113870197
-37.815451002631654,144.96160135915994
-37.815451002631654,144.96160135915994
-37.815451002631654,144.96160135915994
-37.815451002631654,144.96160135915994
-37.815451002631654,144.96160135915994
-37.815451002631654,144.96160135915994
-37.81588207325863,144.96067692521717
-37.81588207325863,144.96067692521717
-37.81588207325863,144.96067692521717
-37.81588207325863,144.96067692521717
-37.81681488654451,144.9594390401766
-37.81727817263525,144.95771003294755
-37.81750217878444,144.95898043494893
-37.81750217878444,144.95898043494893
-37.81750217878444,144.95898043494893
-37.81750217878444,144.95898043494893
-37.81638633869922,144.95925864512887
-37.81548831308711,144.960156670741
-37.81570454124556,144.9591393972362
-37.81613983805515,144.96007289425685
-37.81719877579271,144.95871751576064
-37.81548853522288,144.9593399924215
-37.8143020804197,144.9600249924215
-37.8143020804197,144.9600249924215
-37.8143020804197,144.9600249924215
-37.81478658701903,144.95888356640322
-37.81478658701903,144.95888356640322
-37.8158600423272,144.96016286062323
-37.8158600423272,144.96016286062323
-37.81684166951065,144.95997205162786
-37.81494590636102,144.96020482207376
-37.814082698600615,144.9610384121183
-37.814082698600615,144.9610384121183
-37.814082698600615,144.9610384121183
-37.8153934163856,144.96075981045263
-37.81649955351355,144.96048401949164
-37.81649955351355,144.96048401949164
-37.81649955351355,144.96048401949164
-37.81649955351355,144.96048401949164
-37.81742691222596,144.95899993532336
-37.81742691222596,144.95899993532336
-37.817990278101306,144.95794039821192
-37.817990278101306,144.95794039821192
-37.81830422475444,144.95646339533482
-37.81687792529041,144.95757774260517
-37.81574091967113,144.95820799511148
-37.81579571188095,144.9597770387099
-37.81579571188095,144.9597770387099
-37.81621288482336,144.9584931124129
-37.81494649226576,144.95931551735578
-37.815955146030376,144.9601035640442
-37.815955146030376,144.9601035640442
-37.81448692741537,144.96078820562823
-37.81448692741537,144.96078820562823
-37.81448692741537,144.96078820562823
-37.81448692741537,144.96078820562823
